,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind
87,victoria,75,BN,1573969562,70,89.6,5.28,115.24,2.24
88,mugumu,61,TZ,1573969562,57,75.51,-1.84,34.67,6.06
89,chuy,11,UY,1573969562,91,64.44,-33.69,-53.46,2.66
90,vaini,20,IN,1573969562,61,80.6,15.34,74.49,6.93
91,mackay,75,CA,1573969562,92,30.2,53.65,-115.58,3.36
92,kununurra,1,AU,1573969563,5,105.8,-15.77,128.74,14.99
93,nacala,99,MZ,1573969563,54,87.12,-14.56,40.69,7.11
94,tsiroanomandidy,100,MG,1573969563,59,78.03,-18.77,46.05,11.68
95,hobyo,25,SO,1573969563,64,84.47,5.35,48.53,22.44
96,mastic beach,1,US,1573969563,39,34.0,40.77,-72.85,19.33
97,tessalit,16,ML,1573969564,31,65.01,20.2,1.01,8.21
98,avarua,1,CK,1573969564,78,75.2,-21.21,-159.78,3.36
99,smithers,90,CA,1573969564,100,39.2,54.78,-127.17,8.05
100,lorengau,66,PG,1573969564,76,82.98,-2.02,147.27,14.63
101,calvinia,1,ZA,1573969564,61,58.32,-31.47,19.78,10.16
102,ilulissat,0,GL,1573969564,41,19.4,69.22,-51.1,13.87
103,airai,3,TL,1573969565,29,86.9,-8.93,125.41,8.5
104,finnsnes,89,NO,1573969565,92,26.6,69.23,17.98,19.46
105,new norfolk,92,AU,1573969418,33,59.0,-42.78,147.06,9.17
106,sur,72,OM,1573969565,45,77.95,22.57,59.53,10.63
107,kodiak,1,US,1573969565,60,46.99,39.95,-94.76,6.93
108,la ronge,90,CA,1573969565,92,24.8,55.1,-105.3,5.82
109,ostrzeszow,88,PL,1573969566,8,46.99,51.43,17.93,7.05
110,punta arenas,56,CL,1573969566,75,44.6,-53.16,-70.91,8.05
111,cururupu,13,BR,1573969566,98,73.33,-1.82,-44.87,2.66
112,bilibino,48,RU,1573969566,60,-2.88,68.06,166.44,2.8
113,yellowknife,90,CA,1573969566,84,8.6,62.45,-114.38,9.17
114,clyde river,90,CA,1573969566,77,5.0,70.47,-68.59,13.87
115,koundara,99,GN,1573969567,82,75.79,12.49,-13.3,5.88
116,palu,41,ID,1573969567,59,83.71,-0.9,119.87,5.93
117,kalemie,100,CD,1573969567,89,69.85,-5.95,29.2,8.93
118,polunochnoye,51,RU,1573969567,82,24.8,60.87,60.43,8.97
119,el tigre,76,VE,1573969568,85,73.8,8.89,-64.25,2.55
120,tuatapere,53,NZ,1573969568,60,57.0,-46.13,167.69,8.01
121,pangnirtung,10,CA,1573969362,76,6.12,66.15,-65.72,2.19
122,mudgee,0,AU,1573969568,9,80.01,-32.6,149.59,17.22
123,mahebourg,75,MU,1573969568,74,80.6,-20.41,57.7,19.46
124,bolivar,1,US,1573969547,60,46.0,37.61,-93.41,6.93
125,kargasok,100,RU,1573969569,94,26.74,59.06,80.87,10.6
126,grand gaube,75,MU,1573969569,74,80.6,-20.01,57.66,19.46
127,mortka,96,RU,1573969569,93,22.87,59.33,66.02,6.26
128,faya,20,SA,1573969569,54,60.8,18.39,42.45,4.7
129,lufilufi,41,WS,1573969569,70,87.01,-13.87,-171.6,14.74
130,puerto ayora,35,EC,1573969569,88,70.0,-0.74,-90.35,5.01
131,vila,75,IT,1573969570,93,45.0,45.18,8.4,3.36
132,taloqan,53,AF,1573969570,53,43.88,36.74,69.54,4.74
133,kaitangata,85,NZ,1573969570,78,52.0,-46.28,169.85,11.01
134,povenets,100,RU,1573969570,91,30.06,62.85,34.83,6.73
135,rovnoye,23,RU,1573969570,83,35.62,50.78,46.06,8.01
136,narsaq,100,GL,1573969571,43,35.6,60.91,-46.05,41.38
137,pisco,90,PE,1573969571,88,64.99,-13.71,-76.2,10.29
138,ahipara,5,NZ,1573969571,100,64.99,-35.17,173.16,1.01
139,san andres,74,PH,1573969571,72,83.97,13.32,122.68,6.13
140,iqaluit,90,CA,1573969571,72,12.2,63.75,-68.52,6.93
141,san juan,16,AR,1573969571,42,78.19,-31.54,-68.53,4.63
142,tiksi,95,RU,1573969572,96,-2.78,71.64,128.87,4.5
143,benavente,75,ES,1573969572,100,33.8,42.0,-5.67,2.24
144,dekar,20,BW,1573969572,13,83.19,-21.53,21.93,6.22
145,saint george,75,GR,1573969572,100,53.6,39.45,22.34,0.27
146,manicore,100,BR,1573969572,94,73.47,-5.81,-61.3,1.05
147,mocajuba,73,BR,1573969572,86,76.46,-2.58,-49.5,4.59
148,ayni,33,TJ,1573969573,49,33.71,39.39,68.54,1.39
149,bondo,100,CD,1573969573,75,76.26,3.81,23.69,1.12
150,hasaki,40,JP,1573969485,45,68.0,35.73,140.83,6.93
151,porto nacional,40,BR,1573969573,100,77.0,-10.7,-48.41,3.36
152,leningradskiy,100,RU,1573969573,92,15.4,69.38,178.42,8.05
153,russell,1,US,1573969573,57,51.8,38.9,-98.86,16.11
154,guaymas,0,MX,1573969574,85,64.99,27.92,-110.9,1.01
155,port alfred,99,ZA,1573969469,95,61.0,-33.59,26.89,7.0
156,porec,75,HR,1573969574,72,64.99,45.23,13.59,18.34
157,ereymentau,72,KZ,1573969574,89,18.84,51.62,73.1,19.69
158,ponta delgada,40,PT,1573969574,76,55.4,37.73,-25.67,5.82
